hour;minute;tweets;related;rainfall (mm/30min);precision;recall;Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Normalized precision;Normalized recall;Next batch rainfall (mm/30min);Next batch rainfall class
17;0;37;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.3394495412844037;0.0;0.0;0.0;0.0;0.0;0
8;30;32;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.29357798165137616;0.0;0.0;0.0;0.0;0.0;0
19;30;48;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.44036697247706424;0.0;0.0;0.0;0.0;0.0;0
19;30;66;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.6055045871559633;0.0;0.0;0.0;0.0;0.0;0
19;30;36;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.3302752293577982;0.0;0.0;0.0;0.0;0.0;0
3;0;21;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.1926605504587156;0.0;0.0;0.0;0.0;0.0;0
21;0;82;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.7522935779816514;0.0;0.0;0.0;0.0;0.0;0
21;0;74;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.6788990825688074;0.0;0.0;0.0;0.0;0.0;0
20;30;0;0;0.2;0.0;0.0;0.8695652173913043;1.0;0.0;0.0;0.008406893652795292;0.0;0.0;0.0;0
14;0;34;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.3119266055045872;0.0;0.0;0.0;0.0;0.0;0
9;0;13;0;0.0;0.0;0.0;0.391304347826087;0.0;0.11926605504587157;0.0;0.0;0.0;0.0;0.0;0
3;30;9;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.08256880733944955;0.0;0.0;0.0;0.0;0.0;0
21;30;35;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.3211009174311927;0.0;0.0;0.0;0.0;0.0;0
21;30;62;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.5688073394495413;0.0;0.0;0.0;0.0;0.0;0
3;0;0;0;8.29;0.0;0.0;0.13043478260869565;0.0;0.0;0.0;0.3484657419083648;0.0;0.0;1.58;0
17;0;85;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.7798165137614679;0.0;0.0;0.0;0.0;0.0;0
11;0;44;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.4036697247706422;0.0;0.0;0.0;0.0;0.0;0
22;0;53;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.48623853211009177;0.0;0.0;0.0;0.0;0.0;0
15;0;36;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.3302752293577982;0.0;0.0;0.0;0.0;0.0;0
9;30;22;0;0.0;0.0;0.0;0.391304347826087;1.0;0.2018348623853211;0.0;0.0;0.0;0.0;0.0;0
20;0;45;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.41284403669724773;0.0;0.0;0.0;0.0;0.0;0
8;30;7;0;0.79;0.0;0.0;0.34782608695652173;1.0;0.06422018348623854;0.0;0.03320722992854141;0.0;0.0;0.0;0
15;30;55;1;0.6;4.143978385008743e-06;0.0016129032258064516;0.6521739130434783;1.0;0.5045871559633027;0.25;0.025220680958385876;0.25;0.25;0.6;0
14;30;50;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.45871559633027525;0.0;0.0;0.0;0.0;0.0;0
11;30;42;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.3853211009174312;0.0;0.0;0.0;0.0;0.0;0
10;0;31;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.43478260869565216;0.0;0.28440366972477066;0.25;0.0;0.25;0.25;0.0;0
7;30;12;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.11009174311926606;0.0;0.0;0.0;0.0;0.0;0
10;30;36;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.3302752293577982;0.0;0.0;0.0;0.0;0.0;0
8;30;29;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.26605504587155965;0.0;0.0;0.0;0.0;0.0;0
21;30;47;0;0.0;0.0;0.0;0.9130434782608695;1.0;0.43119266055045874;0.0;0.0;0.0;0.0;0.0;0
18;30;31;0;0.2;0.0;0.0;0.782608695652174;1.0;0.28440366972477066;0.0;0.008406893652795292;0.0;0.0;0.0;0
19;0;48;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.44036697247706424;0.0;0.0;0.0;0.0;0.0;0
19;30;56;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.5137614678899083;0.0;0.0;0.0;0.0;0.0;0
19;30;66;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.6055045871559633;0.0;0.0;0.0;0.0;0.0;0
1;0;17;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.1559633027522936;0.0;0.0;0.0;0.0;0.0;0
22;0;56;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.5137614678899083;0.0;0.0;0.0;0.0;0.2;0
11;0;32;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.29357798165137616;0.0;0.0;0.0;0.0;0.0;0
18;30;48;0;0.0;0.0;0.0;0.782608695652174;1.0;0.44036697247706424;0.0;0.0;0.0;0.0;0.0;0
9;0;12;0;0.0;0.0;0.0;0.391304347826087;0.0;0.11009174311926606;0.0;0.0;0.0;0.0;0.0;0
16;0;33;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.30275229357798167;0.0;0.0;0.0;0.0;0.0;0
21;0;56;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.5137614678899083;0.0;0.0;0.0;0.0;0.0;0
19;30;43;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.8260869565217391;1.0;0.3944954128440367;0.25;0.0;0.25;0.25;0.0;0
4;0;2;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.01834862385321101;0.0;0.0;0.0;0.0;0.0;0
10;30;39;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.3577981651376147;0.0;0.0;0.0;0.0;0.0;0
11;30;43;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.3944954128440367;0.0;0.0;0.0;0.0;0.0;0
2;0;27;0;0.0;0.0;0.0;0.08695652173913043;0.0;0.24770642201834864;0.0;0.0;0.0;0.0;0.0;0
19;0;60;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.5504587155963303;0.0;0.0;0.0;0.0;0.0;0
3;30;9;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.08256880733944955;0.0;0.0;0.0;0.0;0.0;0
12;0;96;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.8807339449541285;0.0;0.0;0.0;0.0;0.0;0
13;0;52;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.47706422018348627;0.0;0.0;0.0;0.0;0.0;0
22;30;41;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.3761467889908257;0.0;0.0;0.0;0.0;0.0;0
20;0;52;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.47706422018348627;0.0;0.0;0.0;0.0;0.0;0
1;30;30;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.27522935779816515;0.0;0.0;0.0;0.0;0.0;0
11;0;48;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.44036697247706424;0.0;0.0;0.0;0.0;0.0;0
5;0;11;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.10091743119266056;0.0;0.0;0.0;0.0;0.0;0
21;0;72;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.6605504587155964;0.0;0.0;0.0;0.0;0.61;0
17;30;33;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.30275229357798167;0.0;0.0;0.0;0.0;0.0;0
4;30;4;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.03669724770642202;0.0;0.0;0.0;0.0;0.0;0
3;30;11;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.10091743119266056;0.0;0.0;0.0;0.0;0.0;0
22;30;0;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3;30;20;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.1834862385321101;0.0;0.0;0.0;0.0;0.0;0
8;30;26;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.34782608695652173;1.0;0.23853211009174313;0.25;0.0;0.25;0.25;0.2;0
14;0;48;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.6086956521739131;0.0;0.44036697247706424;0.25;0.0;0.25;0.25;0.2;0
10;30;43;0;0.2;0.0;0.0;0.43478260869565216;1.0;0.3944954128440367;0.0;0.008406893652795292;0.0;0.0;0.0;0
7;0;8;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.07339449541284404;0.0;0.0;0.0;0.0;0.0;0
18;30;46;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.782608695652174;1.0;0.42201834862385323;0.25;0.0;0.25;0.25;0.2;0
0;0;53;0;0.0;0.0;0.0;0.0;0.0;0.48623853211009177;0.0;0.0;0.0;0.0;0.0;0
19;30;61;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.5596330275229358;0.0;0.0;0.0;0.0;0.0;0
1;30;17;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.1559633027522936;0.0;0.0;0.0;0.0;0.0;0
21;0;56;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.5137614678899083;0.0;0.0;0.0;0.0;0.0;0
18;0;46;0;0.0;0.0;0.0;0.782608695652174;0.0;0.42201834862385323;0.0;0.0;0.0;0.0;0.0;0
1;30;25;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.22935779816513763;0.0;0.0;0.0;0.0;0.0;0
12;0;54;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.4954128440366973;0.0;0.0;0.0;0.0;0.0;0
22;0;37;0;2.94;0.0;0.0;0.9565217391304348;0.0;0.3394495412844037;0.0;0.1235813366960908;0.0;0.0;2.55;1
11;30;39;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.3577981651376147;0.0;0.0;0.0;0.0;0.0;0
10;30;43;0;1.19;0.0;0.0;0.43478260869565216;1.0;0.3944954128440367;0.0;0.050021017234131986;0.0;0.0;0.2;0
21;0;52;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.47706422018348627;0.0;0.0;0.0;0.0;0.0;0
2;30;4;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.03669724770642202;0.0;0.0;0.0;0.0;0.0;0
2;30;8;0;0.0;0.0;0.0;0.08695652173913043;1.0;0.07339449541284404;0.0;0.0;0.0;0.0;0.0;0
7;0;9;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.08256880733944955;0.0;0.0;0.0;0.0;0.0;0
23;30;57;0;0.0;0.0;0.0;1.0;1.0;0.5229357798165137;0.0;0.0;0.0;0.0;0.0;0
20;0;42;1;0.2;4.143978385008743e-06;0.0016129032258064516;0.8695652173913043;0.0;0.3853211009174312;0.25;0.008406893652795292;0.25;0.25;0.2;0
8;30;31;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.28440366972477066;0.0;0.0;0.0;0.0;0.0;0
14;0;43;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.6086956521739131;0.0;0.3944954128440367;0.25;0.0;0.25;0.25;0.2;0
6;0;7;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.06422018348623854;0.0;0.0;0.0;0.0;0.0;0
8;0;5;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.045871559633027525;0.0;0.0;0.0;0.0;0.79;0
16;0;30;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.27522935779816515;0.0;0.0;0.0;0.0;0.0;0
14;30;59;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.5412844036697247;0.0;0.0;0.0;0.0;0.0;0
7;0;21;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.1926605504587156;0.0;0.0;0.0;0.0;0.0;0
9;30;30;0;0.0;0.0;0.0;0.391304347826087;1.0;0.27522935779816515;0.0;0.0;0.0;0.0;0.2;0
5;30;8;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.07339449541284404;0.0;0.0;0.0;0.0;0.0;0
15;0;42;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.3853211009174312;0.0;0.0;0.0;0.0;0.0;0
23;0;0;0;0.2;0.0;0.0;1.0;0.0;0.0;0.0;0.008406893652795292;0.0;0.0;0.0;0
19;0;24;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.22018348623853212;0.0;0.0;0.0;0.0;0.0;0
16;0;59;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.5412844036697247;0.0;0.0;0.0;0.0;0.0;0
4;0;4;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.03669724770642202;0.0;0.0;0.0;0.0;0.0;0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
8;0;19;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.34782608695652173;0.0;0.1743119266055046;0.25;0.0;0.25;0.25;0.0;0
14;30;42;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.3853211009174312;0.0;0.0;0.0;0.0;0.0;0
6;0;11;0;0.0;0.0;0.0;0.2608695652173913;0.0;0.10091743119266056;0.0;0.0;0.0;0.0;0.0;0
16;30;80;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.7339449541284404;0.0;0.0;0.0;0.0;0.0;0
7;0;15;0;0.0;0.0;0.0;0.30434782608695654;0.0;0.13761467889908258;0.0;0.0;0.0;0.0;0.0;0
13;30;66;0;0.0;0.0;0.0;0.5652173913043478;1.0;0.6055045871559633;0.0;0.0;0.0;0.0;0.0;0
8;30;12;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.11009174311926606;0.0;0.0;0.0;0.0;0.0;0
15;0;43;0;0.0;0.0;0.0;0.6521739130434783;0.0;0.3944954128440367;0.0;0.0;0.0;0.0;0.0;0
14;30;55;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.6086956521739131;1.0;0.5045871559633027;0.25;0.0;0.25;0.25;0.0;0
0;30;24;1;0.59;4.143978385008743e-06;0.0016129032258064516;0.0;1.0;0.22018348623853212;0.25;0.024800336275746113;0.25;0.25;0.4;0
16;30;63;2;0.0;8.287956770017487e-06;0.0032258064516129032;0.6956521739130435;1.0;0.5779816513761468;0.5;0.0;0.5;0.5;0.4;0
0;30;43;0;2.56;0.0;0.0;0.0;1.0;0.3944954128440367;0.0;0.10760823875577974;0.0;0.0;1.76;0
20;0;29;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.26605504587155965;0.0;0.0;0.0;0.0;0.0;0
22;0;42;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.3853211009174312;0.0;0.0;0.0;0.0;0.0;0
19;30;71;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.6513761467889908;0.0;0.0;0.0;0.0;0.0;0
12;0;63;0;0.0;0.0;0.0;0.5217391304347826;0.0;0.5779816513761468;0.0;0.0;0.0;0.0;0.0;0
0;30;19;0;0.0;0.0;0.0;0.0;1.0;0.1743119266055046;0.0;0.0;0.0;0.0;0.0;0
5;0;5;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.045871559633027525;0.0;0.0;0.0;0.0;0.0;0
7;0;12;0;1.76;0.0;0.0;0.30434782608695654;0.0;0.11009174311926606;0.0;0.07398066414459857;0.0;0.0;0.4;0
0;30;30;1;1.38;4.143978385008743e-06;0.0016129032258064516;0.0;1.0;0.27522935779816515;0.25;0.058007566204287514;0.25;0.25;0.99;0
13;0;58;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.5321100917431193;0.0;0.0;0.0;0.0;0.0;0
1;0;0;0;0.2;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.008406893652795292;0.0;0.0;0.0;0
16;30;66;0;0.0;0.0;0.0;0.6956521739130435;1.0;0.6055045871559633;0.0;0.0;0.0;0.0;0.0;0
9;30;43;0;0.0;0.0;0.0;0.391304347826087;1.0;0.3944954128440367;0.0;0.0;0.0;0.0;0.0;0
9;0;24;0;0.0;0.0;0.0;0.391304347826087;0.0;0.22018348623853212;0.0;0.0;0.0;0.0;0.0;0
11;0;38;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.3486238532110092;0.0;0.0;0.0;0.0;0.0;0
12;30;45;0;0.0;0.0;0.0;0.5217391304347826;1.0;0.41284403669724773;0.0;0.0;0.0;0.0;0.0;0
17;0;43;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.3944954128440367;0.0;0.0;0.0;0.0;0.0;0
22;30;39;0;2.55;0.0;0.0;0.9565217391304348;1.0;0.3577981651376147;0.0;0.10718789407313997;0.0;0.0;1.77;0
21;0;66;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.6055045871559633;0.0;0.0;0.0;0.0;0.0;0
19;0;50;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.8260869565217391;0.0;0.45871559633027525;0.25;0.0;0.25;0.25;0.0;0
3;30;8;0;0.6;0.0;0.0;0.13043478260869565;1.0;0.07339449541284404;0.0;0.025220680958385876;0.0;0.0;0.0;0
6;30;20;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.1834862385321101;0.0;0.0;0.0;0.0;0.0;0
8;30;21;0;0.2;0.0;0.0;0.34782608695652173;1.0;0.1926605504587156;0.0;0.008406893652795292;0.0;0.0;0.2;0
15;30;27;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.24770642201834864;0.0;0.0;0.0;0.0;0.0;0
8;30;24;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.22018348623853212;0.0;0.0;0.0;0.0;0.0;0
3;0;11;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.10091743119266056;0.0;0.0;0.0;0.0;0.0;0
17;30;70;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.6422018348623854;0.0;0.0;0.0;0.0;0.0;0
18;0;52;0;0.0;0.0;0.0;0.782608695652174;0.0;0.47706422018348627;0.0;0.0;0.0;0.0;0.0;0
14;0;65;0;0.0;0.0;0.0;0.6086956521739131;0.0;0.5963302752293578;0.0;0.0;0.0;0.0;0.0;0
14;30;26;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.23853211009174313;0.0;0.0;0.0;0.0;0.0;0
1;30;12;0;0.0;0.0;0.0;0.043478260869565216;1.0;0.11009174311926606;0.0;0.0;0.0;0.0;0.0;0
5;0;2;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.01834862385321101;0.0;0.0;0.0;0.0;0.0;0
17;30;51;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.46788990825688076;0.0;0.0;0.0;0.0;0.0;0
4;30;5;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.045871559633027525;0.0;0.0;0.0;0.0;0.0;0
4;0;7;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.06422018348623854;0.0;0.0;0.0;0.0;0.0;0
16;0;32;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.29357798165137616;0.0;0.0;0.0;0.0;0.0;0
8;0;21;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.1926605504587156;0.0;0.0;0.0;0.0;0.0;0
23;0;66;0;0.99;0.0;0.0;1.0;0.0;0.6055045871559633;0.0;0.0416141235813367;0.0;0.0;0.0;0
3;0;12;0;0.2;0.0;0.0;0.13043478260869565;0.0;0.11009174311926606;0.0;0.008406893652795292;0.0;0.0;0.0;0
5;0;0;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0
7;30;8;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.07339449541284404;0.0;0.0;0.0;0.0;0.0;0
14;30;58;0;0.0;0.0;0.0;0.6086956521739131;1.0;0.5321100917431193;0.0;0.0;0.0;0.0;0.0;0
7;30;38;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.3486238532110092;0.0;0.0;0.0;0.0;0.0;0
20;0;47;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.43119266055045874;0.0;0.0;0.0;0.0;0.0;0
11;30;39;0;0.0;0.0;0.0;0.4782608695652174;1.0;0.3577981651376147;0.0;0.0;0.0;0.0;0.0;0
19;30;55;0;0.0;0.0;0.0;0.8260869565217391;1.0;0.5045871559633027;0.0;0.0;0.0;0.0;0.0;0
1;0;10;0;0.0;0.0;0.0;0.043478260869565216;0.0;0.09174311926605505;0.0;0.0;0.0;0.0;0.0;0
20;0;69;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.6330275229357798;0.0;0.0;0.0;0.0;0.0;0
23;0;62;0;0.0;0.0;0.0;1.0;0.0;0.5688073394495413;0.0;0.0;0.0;0.0;0.0;0
10;0;35;0;0.0;0.0;0.0;0.43478260869565216;0.0;0.3211009174311927;0.0;0.0;0.0;0.0;0.2;0
19;0;61;0;0.0;0.0;0.0;0.8260869565217391;0.0;0.5596330275229358;0.0;0.0;0.0;0.0;0.0;0
19;30;22;0;9.06;0.0;0.0;0.8260869565217391;1.0;0.2018348623853211;0.0;0.38083228247162676;0.0;0.0;23.79;2
18;0;25;1;0.4;4.143978385008743e-06;0.0016129032258064516;0.782608695652174;0.0;0.22935779816513763;0.25;0.016813787305590584;0.25;0.25;0.2;0
11;0;48;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.44036697247706424;0.0;0.0;0.0;0.0;0.0;0
3;30;5;0;0.0;0.0;0.0;0.13043478260869565;1.0;0.045871559633027525;0.0;0.0;0.0;0.0;0.0;0
17;30;0;0;0.0;0.0;0.0;0.7391304347826086;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
7;30;16;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.14678899082568808;0.0;0.0;0.0;0.0;0.0;0
8;0;33;0;0.0;0.0;0.0;0.34782608695652173;0.0;0.30275229357798167;0.0;0.0;0.0;0.0;0.0;0
22;0;66;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.6055045871559633;0.0;0.0;0.0;0.0;0.0;0
0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.008406893652795292;0.0;0.0;0.0;0
6;30;8;0;0.0;0.0;0.0;0.2608695652173913;1.0;0.07339449541284404;0.0;0.0;0.0;0.0;0.0;0
16;0;21;0;0.0;0.0;0.0;0.6956521739130435;0.0;0.1926605504587156;0.0;0.0;0.0;0.0;0.59;0
22;0;46;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.9565217391304348;0.0;0.42201834862385323;0.25;0.0;0.25;0.25;0.0;0
9;30;20;0;0.0;0.0;0.0;0.391304347826087;1.0;0.1834862385321101;0.0;0.0;0.0;0.0;0.0;0
18;0;45;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.782608695652174;0.0;0.41284403669724773;0.25;0.0;0.25;0.25;0.0;0
20;0;73;0;0.0;0.0;0.0;0.8695652173913043;0.0;0.6697247706422018;0.0;0.0;0.0;0.0;0.0;0
13;0;39;0;0.0;0.0;0.0;0.5652173913043478;0.0;0.3577981651376147;0.0;0.0;0.0;0.0;0.0;0
20;30;76;0;0.0;0.0;0.0;0.8695652173913043;1.0;0.6972477064220184;0.0;0.0;0.0;0.0;0.0;0
23;0;40;0;0.0;0.0;0.0;1.0;0.0;0.3669724770642202;0.0;0.0;0.0;0.0;0.0;0
4;30;7;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.06422018348623854;0.0;0.0;0.0;0.0;0.0;0
23;0;33;0;0.0;0.0;0.0;1.0;0.0;0.30275229357798167;0.0;0.0;0.0;0.0;0.0;0
9;30;29;0;0.0;0.0;0.0;0.391304347826087;1.0;0.26605504587155965;0.0;0.0;0.0;0.0;0.0;0
15;30;42;0;0.0;0.0;0.0;0.6521739130434783;1.0;0.3853211009174312;0.0;0.0;0.0;0.0;0.0;0
4;30;5;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.045871559633027525;0.0;0.0;0.0;0.0;0.0;0
13;30;34;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.5652173913043478;1.0;0.3119266055045872;0.25;0.0;0.25;0.25;0.0;0
3;0;7;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.06422018348623854;0.0;0.0;0.0;0.0;0.0;0
18;0;54;0;0.0;0.0;0.0;0.782608695652174;0.0;0.4954128440366973;0.0;0.0;0.0;0.0;0.0;0
17;0;41;0;0.0;0.0;0.0;0.7391304347826086;0.0;0.3761467889908257;0.0;0.0;0.0;0.0;0.0;0
0;0;31;0;0.0;0.0;0.0;0.0;0.0;0.28440366972477066;0.0;0.0;0.0;0.0;0.0;0
15;0;42;1;0.0;4.143978385008743e-06;0.0016129032258064516;0.6521739130434783;0.0;0.3853211009174312;0.25;0.0;0.25;0.25;0.0;0
5;0;1;0;0.0;0.0;0.0;0.21739130434782608;0.0;0.009174311926605505;0.0;0.0;0.0;0.0;0.0;0
12;30;34;0;0.0;0.0;0.0;0.5217391304347826;1.0;0.3119266055045872;0.0;0.0;0.0;0.0;0.0;0
18;0;41;0;0.0;0.0;0.0;0.782608695652174;0.0;0.3761467889908257;0.0;0.0;0.0;0.0;0.0;0
22;30;46;0;0.0;0.0;0.0;0.9565217391304348;1.0;0.42201834862385323;0.0;0.0;0.0;0.0;0.0;0
19;0;99;2;0.0;8.287956770017487e-06;0.0032258064516129032;0.8260869565217391;0.0;0.908256880733945;0.5;0.0;0.5;0.5;0.0;0
22;0;41;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.3761467889908257;0.0;0.0;0.0;0.0;0.0;0
4;30;4;0;0.0;0.0;0.0;0.17391304347826086;1.0;0.03669724770642202;0.0;0.0;0.0;0.0;0.0;0
0;0;31;0;0.0;0.0;0.0;0.0;0.0;0.28440366972477066;0.0;0.0;0.0;0.0;0.0;0
23;0;45;2;0.2;8.287956770017487e-06;0.0032258064516129032;1.0;0.0;0.41284403669724773;0.5;0.008406893652795292;0.5;0.5;0.0;0
18;30;46;3;0.0;1.2431935155026231e-05;0.004838709677419355;0.782608695652174;1.0;0.42201834862385323;0.75;0.0;0.75;0.75;0.39;0
0;0;40;0;0.0;0.0;0.0;0.0;0.0;0.3669724770642202;0.0;0.0;0.0;0.0;2.56;1
22;0;0;0;0.0;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
21;0;43;0;0.0;0.0;0.0;0.9130434782608695;0.0;0.3944954128440367;0.0;0.0;0.0;0.0;0.0;0
8;30;25;0;0.0;0.0;0.0;0.34782608695652173;1.0;0.22935779816513763;0.0;0.0;0.0;0.0;0.0;0
9;30;25;0;0.0;0.0;0.0;0.391304347826087;1.0;0.22935779816513763;0.0;0.0;0.0;0.0;0.0;0
4;0;0;0;0.0;0.0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
9;0;36;0;0.0;0.0;0.0;0.391304347826087;0.0;0.3302752293577982;0.0;0.0;0.0;0.0;0.0;0
10;30;87;0;0.0;0.0;0.0;0.43478260869565216;1.0;0.7981651376146789;0.0;0.0;0.0;0.0;0.0;0
23;0;39;0;0.0;0.0;0.0;1.0;0.0;0.3577981651376147;0.0;0.0;0.0;0.0;0.0;0
9;30;27;0;0.0;0.0;0.0;0.391304347826087;1.0;0.24770642201834864;0.0;0.0;0.0;0.0;0.0;0
11;0;38;0;0.0;0.0;0.0;0.4782608695652174;0.0;0.3486238532110092;0.0;0.0;0.0;0.0;0.0;0
9;0;23;2;0.0;8.287956770017487e-06;0.0032258064516129032;0.391304347826087;0.0;0.21100917431192662;0.5;0.0;0.5;0.5;0.0;0
3;0;7;0;0.0;0.0;0.0;0.13043478260869565;0.0;0.06422018348623854;0.0;0.0;0.0;0.0;0.0;0
7;30;15;0;0.0;0.0;0.0;0.30434782608695654;1.0;0.13761467889908258;0.0;0.0;0.0;0.0;0.0;0
5;30;3;0;0.0;0.0;0.0;0.21739130434782608;1.0;0.027522935779816515;0.0;0.0;0.0;0.0;0.0;0
